UID          PID    PPID  C STIME TTY          TIME CMD
spatel      1536    1278  0 15:02 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
spatel      1542    1278  0 15:02 ?        00:00:00 /usr/libexec/evolution-source-registry
spatel      1546    1289  0 15:02 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
spatel      1554    1278  0 15:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal
spatel      1558    1278  0 15:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
spatel      1561    1278  0 15:02 ?        00:00:00 /usr/libexec/evolution-calendar-factory
spatel      1572    1278  0 15:02 ?        00:00:00 /usr/libexec/dconf-service
spatel      1577    1278  0 15:02 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
spatel      1589    1305  0 15:02 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
spatel      1599    1278  0 15:02 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
spatel      1601    1278  0 15:02 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
spatel      1606    1278  0 15:02 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
spatel      1609    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-a11y-settings
spatel      1610    1606  0 15:02 ?        00:00:00 /usr/bin/ibus-daemon --panel disable
spatel      1612    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-color
spatel      1613    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-datetime
spatel      1615    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-housekeeping
spatel      1620    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-keyboard
spatel      1622    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-media-keys
spatel      1626    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-power
spatel      1630    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-print-notifications
spatel      1631    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-rfkill
spatel      1632    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
spatel      1636    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-sharing
spatel      1637    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-smartcard
spatel      1640    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-sound
spatel      1646    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-wacom
spatel      1678    1416  0 15:02 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
spatel      1680    1278  0 15:02 ?        00:00:00 /usr/libexec/gsd-printer
spatel      1696    1416  0 15:02 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
spatel      1701    1610  0 15:02 ?        00:00:00 /usr/libexec/ibus-dconf
spatel      1702    1610  0 15:02 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
spatel      1718    1278  0 15:02 ?        00:00:00 /usr/libexec/ibus-portal
spatel      1773    1610  0 15:02 ?        00:00:00 /usr/libexec/ibus-engine-simple
spatel      1800    1278  0 15:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
spatel      1829    1278  0 15:02 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
spatel      1843    1445  0 15:02 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:70:0:0
spatel      1879    1278  0 15:02 ?        00:00:00 /usr/libexec/gvfsd-metadata
spatel      1906    1445 14 15:03 ?        00:01:03 /snap/firefox/2987/usr/lib/firefox/firefox
spatel      1984    1445  0 15:03 ?        00:00:03 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.33PYH2 -listen 4 -listen 5 -displayfd 6 -initfd 7
spatel      1987    1278  0 15:03 ?        00:00:00 /usr/libexec/gsd-xsettings
spatel      2013    1278  0 15:03 ?        00:00:00 /usr/libexec/ibus-x11
spatel      2075    1906  0 15:03 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -parentBuildID 20230807082803 -prefsLen 25906 -prefMapSize 232052 -appDir /snap/firefox/2987/usr/lib/firefox/browser {bb45c179-30c1-4f5e-aa08-11fa7bcd162a} 1906 true socket
spatel      2088    1906  0 15:03 ?        00:00:01 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 26047 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {d2762ac3-b1f0-4fd0-81a6-5fcaaa7b37a0} 1906 true tab
spatel      2125    1278  0 15:03 ?        00:00:00 /usr/bin/snap userd
spatel      2258    1906  0 15:03 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 31702 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {0469accb-28b6-4a61-8297-dd67e2b33ca3} 1906 true tab
spatel      2664    1416  0 15:03 ?        00:00:00 update-notifier
spatel      2747    1906  3 15:04 ?        00:00:14 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 9 -isForBrowser -prefsLen 29684 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {6d6ae2fb-007f-45ce-9c18-3c1df160c3ed} 1906 true tab
spatel      2852    1906  0 15:05 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -parentBuildID 20230807082803 -prefsLen 35613 -prefMapSize 232052 -appDir /snap/firefox/2987/usr/lib/firefox/browser {5b3b1fb9-9971-4a8d-93d9-84aa4b4d75db} 1906 true rdd
spatel      2921    1906  0 15:05 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 16 -isForBrowser -prefsLen 29684 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {fab032a7-2298-4cd2-be66-38983c9c46be} 1906 true tab
spatel      2942    1906  0 15:05 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 17 -isForBrowser -prefsLen 29684 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {029fb7d5-f928-4e4a-9100-e13962aca632} 1906 true tab
spatel      2946    1906  0 15:05 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 18 -isForBrowser -prefsLen 29684 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {abc71405-fef7-483c-b1a6-3d066423bae9} 1906 true tab
spatel      2982    1906  0 15:05 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 19 -isForBrowser -prefsLen 29684 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {cea2850f-ce76-4f08-9045-1423227cfec4} 1906 true tab
spatel      3001    1906  0 15:05 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 20 -isForBrowser -prefsLen 29684 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {27878013-ee3b-4e9c-be06-2b57ad3cf2d8} 1906 true tab
spatel      3021    1906  0 15:06 ?        00:00:00 /snap/firefox/2987/usr/lib/firefox/firefox -contentproc -childID 21 -isForBrowser -prefsLen 29684 -prefMapSize 232052 -jsInitLen 242416 -parentBuildID 20230807082803 -appDir /snap/firefox/2987/usr/lib/firefox/browser {ae63a800-21c9-486a-96e8-b961896dec53} 1906 true tab
spatel      3053    1278  0 15:06 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
spatel      3056    1278  0 15:06 ?        00:00:01 /usr/libexec/gnome-terminal-server
spatel      3057    1278  0 15:06 ?        00:00:00 /usr/bin/seahorse --gapplication-service
spatel      3114    3056  0 15:06 pts/0    00:00:00 bash
root        3201       2  0 15:07 ?        00:00:00 [kworker/0:0H-kblockd]
root        3277       2  0 15:07 ?        00:00:00 [kworker/u2:4-events_power_efficient]
root        3340       1 24 15:07 ?        00:00:41 /usr/lib/snapd/snapd
spatel      4189    3114  0 15:10 pts/0    00:00:00 ps -ef
